layer,Wq_mean,Wq_var,Wk_mean,Wk_var,Wv_mean,Wv_var
0,0.50927734375,0.26953125,0.36572265625,0.1439208984375,0.1533203125,0.0058135986328125
1,0.80029296875,0.0015439987182617188,0.51171875,0.004428863525390625,0.21240234375,0.0014019012451171875
2,0.79736328125,0.0017604827880859375,0.50390625,0.0025806427001953125,0.2471923828125,0.0005288124084472656
3,0.7685546875,0.0010805130004882812,0.470947265625,0.001186370849609375,0.2198486328125,0.0007958412170410156
4,0.74169921875,0.0007863044738769531,0.4765625,0.0009279251098632812,0.2498779296875,0.0004925727844238281
5,0.74658203125,0.0004436969757080078,0.45263671875,0.0009784698486328125,0.2354736328125,0.0007295608520507812
6,0.7646484375,0.0005884170532226562,0.46484375,0.0013551712036132812,0.2366943359375,0.0010089874267578125
7,0.73779296875,0.00038504600524902344,0.4423828125,0.00139617919921875,0.251220703125,0.0007600784301757812
8,0.724609375,0.00038623809814453125,0.4423828125,0.0010547637939453125,0.23876953125,0.000492095947265625
9,0.716796875,0.0004248619079589844,0.43359375,0.001781463623046875,0.271484375,0.0009860992431640625
10,0.71630859375,0.0006132125854492188,0.430908203125,0.0010499954223632812,0.25732421875,0.0007581710815429688
11,0.71826171875,0.0007200241088867188,0.43359375,0.0015764236450195312,0.2484130859375,0.0005674362182617188
12,0.6962890625,0.0007715225219726562,0.415771484375,0.0012760162353515625,0.2744140625,0.0006914138793945312
13,0.705078125,0.0005908012390136719,0.425048828125,0.0014677047729492188,0.251953125,0.0005221366882324219
14,0.697265625,0.00036835670471191406,0.4189453125,0.0010309219360351562,0.2489013671875,0.0004897117614746094
15,0.7041015625,0.0004124641418457031,0.431884765625,0.0010223388671875,0.251953125,0.0007381439208984375
16,0.70263671875,0.000919342041015625,0.4208984375,0.0009446144104003906,0.258544921875,0.0003979206085205078
17,0.68359375,0.00067138671875,0.39404296875,0.001094818115234375,0.289794921875,0.0005879402160644531
18,0.71044921875,0.00274658203125,0.41064453125,0.0010156631469726562,0.27001953125,0.0007038116455078125
19,0.6728515625,0.0025157928466796875,0.36962890625,0.001056671142578125,0.30126953125,0.0008449554443359375
20,0.68359375,0.0012693405151367188,0.39013671875,0.0006661415100097656,0.28466796875,0.0004496574401855469
21,0.68798828125,0.0008335113525390625,0.390380859375,0.0007104873657226562,0.281005859375,0.0004050731658935547
22,0.6767578125,0.0007348060607910156,0.38232421875,0.0003883838653564453,0.328125,0.0005512237548828125
23,0.66064453125,0.0010986328125,0.370361328125,0.0007162094116210938,0.312255859375,0.0005183219909667969
24,0.67138671875,0.0008230209350585938,0.37744140625,0.0010538101196289062,0.317626953125,0.0005483627319335938
25,0.67333984375,0.0009927749633789062,0.389892578125,0.0006508827209472656,0.310791015625,0.0004165172576904297
26,0.66796875,0.0014600753784179688,0.37744140625,0.0006480216979980469,0.318359375,0.0008111000061035156
27,0.65576171875,0.0009899139404296875,0.37255859375,0.0004627704620361328,0.3330078125,0.0006642341613769531
28,0.66943359375,0.0012140274047851562,0.372802734375,0.0003993511199951172,0.33251953125,0.00055694580078125
29,0.63818359375,0.001201629638671875,0.34716796875,0.0007104873657226562,0.375244140625,0.00098419189453125
30,0.6484375,0.0007886886596679688,0.36474609375,0.0008764266967773438,0.353759765625,0.0005207061767578125
31,0.65087890625,0.0010747909545898438,0.35888671875,0.0005059242248535156,0.360595703125,0.0006322860717773438
32,0.6318359375,0.0009412765502929688,0.328857421875,0.0009145736694335938,0.39892578125,0.0013990402221679688
33,0.63671875,0.0007472038269042969,0.342529296875,0.0009622573852539062,0.383056640625,0.0009927749633789062
34,0.59765625,0.0011806488037109375,0.283935546875,0.0009722709655761719,0.4755859375,0.0024967193603515625
35,0.61181640625,0.0008411407470703125,0.322021484375,0.0005669593811035156,0.45361328125,0.0015544891357421875
36,0.58349609375,0.0010013580322265625,0.289794921875,0.0008244514465332031,0.477294921875,0.002063751220703125
37,0.55078125,0.0019855499267578125,0.26416015625,0.0009484291076660156,0.52392578125,0.002208709716796875
38,0.55517578125,0.0017642974853515625,0.25390625,0.0011606216430664062,0.56005859375,0.004299163818359375
39,0.57861328125,0.001194000244140625,0.295166015625,0.00040221214294433594,0.446533203125,0.0017290115356445312
