layer,Wq_mean,Wq_var,Wk_mean,Wk_var,Wv_mean,Wv_var
0,1.6484375,0.0169219970703125,0.81298828125,0.004856109619140625,0.2607421875,0.0016965866088867188
1,1.2802734375,0.063232421875,0.6611328125,0.02093505859375,0.2880859375,0.0039005279541015625
2,1.259765625,0.0384521484375,0.58984375,0.00952911376953125,0.296875,0.003032684326171875
3,1.291015625,0.01800537109375,0.5751953125,0.00494384765625,0.260498046875,0.001220703125
4,1.2998046875,0.017303466796875,0.54736328125,0.00504302978515625,0.34423828125,0.0026454925537109375
5,1.2744140625,0.01410675048828125,0.5283203125,0.0021076202392578125,0.37353515625,0.00550079345703125
6,1.28125,0.0228271484375,0.51708984375,0.0022525787353515625,0.3515625,0.00420379638671875
7,1.20703125,0.0142974853515625,0.427978515625,0.0031452178955078125,0.388427734375,0.00461578369140625
8,1.228515625,0.0106201171875,0.477294921875,0.0019273757934570312,0.392822265625,0.003509521484375
9,1.2705078125,0.006439208984375,0.5244140625,0.00379180908203125,0.406982421875,0.0041046142578125
10,1.193359375,0.005893707275390625,0.43505859375,0.0038433074951171875,0.422119140625,0.007843017578125
11,1.21875,0.006198883056640625,0.44384765625,0.004558563232421875,0.42919921875,0.0045623779296875
12,1.2177734375,0.006320953369140625,0.467529296875,0.0034885406494140625,0.4130859375,0.00506591796875
13,1.2822265625,0.0090789794921875,0.54638671875,0.00641632080078125,0.3466796875,0.0021209716796875
14,1.2744140625,0.006488800048828125,0.48876953125,0.0028533935546875,0.404541015625,0.0031528472900390625
15,1.26171875,0.00635528564453125,0.48046875,0.0047454833984375,0.387939453125,0.0018701553344726562
16,1.275390625,0.01114654541015625,0.48828125,0.00603485107421875,0.399169921875,0.00334930419921875
17,1.1962890625,0.01007080078125,0.441162109375,0.005832672119140625,0.365966796875,0.005954742431640625
18,1.21875,0.0067291259765625,0.45361328125,0.0035037994384765625,0.396240234375,0.0031452178955078125
19,1.2177734375,0.0126800537109375,0.488037109375,0.0063934326171875,0.3505859375,0.0031070709228515625
20,1.166015625,0.0161285400390625,0.39990234375,0.004024505615234375,0.384765625,0.004573822021484375
21,1.185546875,0.01531982421875,0.438232421875,0.00446319580078125,0.3955078125,0.0035228729248046875
22,1.19140625,0.0188446044921875,0.41162109375,0.0045318603515625,0.41455078125,0.004322052001953125
23,1.2109375,0.0128021240234375,0.475830078125,0.004978179931640625,0.369384765625,0.0039215087890625
24,1.203125,0.0110321044921875,0.433837890625,0.0018444061279296875,0.409912109375,0.0025482177734375
25,1.1484375,0.01214599609375,0.339111328125,0.0016574859619140625,0.41064453125,0.0034008026123046875
26,1.181640625,0.01226043701171875,0.414794921875,0.0017137527465820312,0.458251953125,0.0035305023193359375
27,1.1103515625,0.0372314453125,0.3515625,0.0018968582153320312,0.431884765625,0.0076446533203125
28,1.15625,0.0276336669921875,0.378173828125,0.0013723373413085938,0.474853515625,0.00756072998046875
29,1.13671875,0.01514434814453125,0.371826171875,0.0027523040771484375,0.477294921875,0.0036907196044921875
30,1.1494140625,0.045013427734375,0.333984375,0.002048492431640625,0.466796875,0.01416015625
31,1.1689453125,0.046173095703125,0.33984375,0.00470733642578125,0.433837890625,0.0169219970703125
32,1.150390625,0.062103271484375,0.305419921875,0.005146026611328125,0.4482421875,0.04150390625
33,1.04296875,0.0531005859375,0.282470703125,0.004795074462890625,0.71435546875,0.09417724609375
34,1.021484375,0.004791259765625,0.3125,0.0013055801391601562,0.58447265625,0.00763702392578125
35,1.0146484375,0.004917144775390625,0.309814453125,0.0012331008911132812,0.55419921875,0.005687713623046875
